Open,High,Close,Low,Volume,Date
1.755,1.77,1.74,1.73,4275472,03-05-2017
1.74,1.75,1.75,1.73,3878480,04-05-2017
1.765,1.765,1.74,1.735,3547300,05-05-2017
1.735,1.755,1.74,1.732,3205540,08-05-2017
1.74,1.76,1.755,1.73,3221389,09-05-2017
1.76,1.77,1.765,1.753,3403038,10-05-2017
1.76,1.765,1.745,1.745,3986029,11-05-2017
1.74,1.755,1.735,1.735,3301205,12-05-2017
1.73,1.76,1.755,1.73,3492364,15-05-2017
1.77,1.805,1.755,1.747,7008711,16-05-2017
1.745,1.75,1.73,1.73,5395294,17-05-2017
1.745,1.765,1.76,1.735,9331529,18-05-2017
1.75,1.765,1.75,1.735,6635837,19-05-2017
1.755,1.77,1.765,1.75,4764912,22-05-2017
1.765,1.77,1.77,1.76,5341801,23-05-2017
1.725,1.73,1.72,1.71,5037795,24-05-2017
1.725,1.737,1.725,1.715,4445536,25-05-2017
1.73,1.735,1.73,1.725,2738683,26-05-2017
1.725,1.73,1.705,1.7,4282715,29-05-2017
1.705,1.715,1.7,1.695,3059984,30-05-2017
1.7,1.705,1.695,1.68,7446271,31-05-2017
1.69,1.715,1.7,1.685,6248201,01-06-2017
1.715,1.72,1.7,1.7,5024563,02-06-2017
1.7,1.725,1.71,1.695,6621351,05-06-2017
1.7,1.715,1.68,1.68,4034709,06-06-2017
1.685,1.69,1.68,1.675,4206033,07-06-2017
1.67,1.675,1.675,1.655,4818682,08-06-2017
1.665,1.683,1.67,1.665,3829516,09-06-2017
1.675,1.695,1.69,1.67,6040589,13-06-2017
1.69,1.72,1.71,1.69,4306954,14-06-2017
1.755,1.755,1.725,1.715,13601783,15-06-2017
1.74,1.76,1.755,1.732,8410021,16-06-2017
1.755,1.77,1.765,1.75,4475288,19-06-2017
1.76,1.77,1.745,1.74,7806943,20-06-2017
1.73,1.735,1.715,1.712,3931109,21-06-2017
1.71,1.72,1.72,1.7,4386656,22-06-2017
1.725,1.73,1.725,1.715,3523701,23-06-2017
1.73,1.74,1.725,1.72,2410842,26-06-2017
1.73,1.73,1.715,1.705,3316312,27-06-2017
1.745,1.768,1.76,1.745,7706499,28-06-2017
1.77,1.78,1.78,1.765,4757178,29-06-2017
1.76,1.76,1.735,1.727,6346668,30-06-2017
1.73,1.73,1.695,1.692,4654250,03-07-2017
1.695,1.71,1.71,1.695,4173819,04-07-2017
1.7,1.72,1.705,1.68,7256459,05-07-2017
1.68,1.707,1.7,1.68,4330132,06-07-2017
1.68,1.69,1.675,1.66,4960623,07-07-2017
1.68,1.695,1.68,1.675,4500521,10-07-2017
1.675,1.695,1.69,1.675,6755034,11-07-2017
1.68,1.68,1.67,1.658,7276022,12-07-2017
1.68,1.695,1.695,1.67,4744017,13-07-2017
1.695,1.7,1.7,1.685,3814189,14-07-2017
1.69,1.7,1.69,1.68,2994804,17-07-2017
1.69,1.695,1.685,1.67,5959666,18-07-2017
1.69,1.702,1.7,1.665,5115422,19-07-2017
1.685,1.705,1.7,1.685,3201982,20-07-2017
1.69,1.7,1.685,1.68,4868488,21-07-2017
1.68,1.688,1.675,1.67,4438419,24-07-2017
1.675,1.692,1.68,1.67,3446926,25-07-2017
1.69,1.69,1.665,1.653,5243223,26-07-2017
1.665,1.678,1.655,1.648,4896473,27-07-2017
1.645,1.66,1.62,1.62,5044424,28-07-2017
1.63,1.645,1.635,1.625,5633896,31-07-2017
1.62,1.67,1.66,1.62,6478624,01-08-2017
1.66,1.665,1.64,1.63,5138190,02-08-2017
1.635,1.658,1.645,1.635,2702458,03-08-2017
1.64,1.655,1.65,1.64,2709223,04-08-2017
1.655,1.655,1.65,1.64,1525975,07-08-2017
1.655,1.66,1.64,1.63,3219547,08-08-2017
1.63,1.645,1.63,1.62,3578249,09-08-2017
1.64,1.645,1.64,1.63,2186032,10-08-2017
1.625,1.65,1.65,1.62,5738610,11-08-2017
1.655,1.66,1.655,1.645,4641461,14-08-2017
1.66,1.67,1.67,1.658,3600542,15-08-2017
1.67,1.69,1.685,1.665,4466496,16-08-2017
1.69,1.695,1.69,1.675,4246051,17-08-2017
